date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2018-09-10,0.0,0.0,0.0,0.0,300.0,3227.0,7260750.0,0.15,IF88,3319.348,7260750.0,1385220.0,50.0,沪深主力连续
2018-09-11,0.0,0.0,0.0,0.0,300.0,3219.0,7242750.0,0.15,IF88,3319.348,7242750.0,1505220.0,50.0,沪深主力连续
2018-09-12,0.0,0.0,0.0,0.0,300.0,3196.4,7191900.0,0.15,IF88,3319.348,7191900.0,1844220.0,50.0,沪深主力连续
2018-09-13,0.0,0.0,0.0,0.0,300.0,3238.4,7286400.0,0.15,IF88,3319.348,7286400.0,1214220.0,50.0,沪深主力连续
2018-09-14,0.0,0.0,0.0,0.0,300.0,3240.6,7291350.0,0.15,IF88,3319.348,7291350.0,1181220.0,50.0,沪深主力连续
2018-09-17,0.0,0.0,0.0,0.0,300.0,3207.2,7216200.0,0.15,IF88,3319.348,7216200.0,1682220.0,50.0,沪深主力连续
2018-09-18,0.0,0.0,0.0,0.0,300.0,3273.4,7365150.0,0.15,IF88,3319.348,7365150.0,689220.0,50.0,沪深主力连续
2018-09-19,0.0,0.0,0.0,0.0,300.0,3311.0,7449750.0,0.15,IF88,3319.348,7449750.0,125220.0,50.0,沪深主力连续
2018-09-20,0.0,0.0,0.0,0.0,300.0,3315.0,7458750.0,0.15,IF88,3319.348,7458750.0,65220.0,50.0,沪深主力连续
2018-09-21,0.0,0.0,0.0,0.0,300.0,3428.2,7713450.0,0.15,IF88,3319.348,7713450.0,-1632780.0,50.0,沪深主力连续
2018-09-25,0.0,0.0,0.0,0.0,300.0,3389.2,7625700.0,0.15,IF88,3319.348,7625700.0,-1047780.0,50.0,沪深主力连续
2018-09-26,0.0,0.0,0.0,0.0,300.0,3422.2,7699950.0,0.15,IF88,3319.348,7699950.0,-1542780.0,50.0,沪深主力连续
2018-09-27,0.0,0.0,0.0,0.0,300.0,3415.8,7685550.0,0.15,IF88,3319.348,7685550.0,-1446780.0,50.0,沪深主力连续
2018-09-28,0.0,0.0,0.0,0.0,300.0,3448.8,7759800.0,0.15,IF88,3319.348,7759800.0,-1941780.0,50.0,沪深主力连续
2018-10-08,0.0,0.0,0.0,0.0,300.0,3288.8,7399800.0,0.15,IF88,3319.348,7399800.0,458220.0,50.0,沪深主力连续
2018-10-09,0.0,0.0,0.0,0.0,300.0,3287.0,7395750.0,0.15,IF88,3319.348,7395750.0,485220.0,50.0,沪深主力连续
2018-10-10,0.0,0.0,0.0,0.0,300.0,3289.0,7400250.0,0.15,IF88,3319.348,7400250.0,455220.0,50.0,沪深主力连续
2018-10-11,0.0,0.0,0.0,0.0,300.0,3106.8,6990300.0,0.15,IF88,3319.348,6990300.0,3188220.0,50.0,沪深主力连续
2018-10-12,0.0,0.0,0.0,0.0,300.0,3169.0,7130250.0,0.15,IF88,3319.348,7130250.0,2255220.0,50.0,沪深主力连续
2018-10-15,0.0,0.0,0.0,0.0,300.0,3122.4,7025400.0,0.15,IF88,3319.348,7025400.0,2954220.0,50.0,沪深主力连续
2018-10-16,0.0,0.0,0.0,0.0,300.0,3110.2,6997950.0,0.15,IF88,3319.348,6997950.0,3137220.0,50.0,沪深主力连续
2018-10-17,0.0,0.0,0.0,0.0,300.0,3121.0,7022250.0,0.15,IF88,3319.348,7022250.0,2975220.0,50.0,沪深主力连续
2018-10-18,0.0,0.0,0.0,0.0,300.0,3048.0,6858000.0,0.15,IF88,3319.348,6858000.0,4070220.0,50.0,沪深主力连续
2018-10-19,0.0,0.0,0.0,0.0,300.0,3128.6,7039350.0,0.15,IF88,3319.348,7039350.0,2861220.0,50.0,沪深主力连续
2018-10-22,0.0,0.0,0.0,0.0,300.0,3288.4,7398900.0,0.15,IF88,3319.348,7398900.0,464220.0,50.0,沪深主力连续
2018-10-23,0.0,0.0,0.0,0.0,300.0,3180.2,7155450.0,0.15,IF88,3319.348,7155450.0,2087220.0,50.0,沪深主力连续
2018-10-24,0.0,0.0,0.0,0.0,300.0,3186.2,7168950.0,0.15,IF88,3319.348,7168950.0,1997220.0,50.0,沪深主力连续
2018-10-25,0.0,0.0,0.0,0.0,300.0,3203.6,7208100.0,0.15,IF88,3319.348,7208100.0,1736220.0,50.0,沪深主力连续
2018-10-26,0.0,0.0,0.0,0.0,300.0,3165.8,7123050.0,0.15,IF88,3319.348,7123050.0,2303220.0,50.0,沪深主力连续
2018-10-29,0.0,0.0,0.0,0.0,300.0,3077.0,6923250.0,0.15,IF88,3319.348,6923250.0,3635220.0,50.0,沪深主力连续
2018-10-30,0.0,0.0,0.0,0.0,300.0,3113.0,7004250.0,0.15,IF88,3319.348,7004250.0,3095220.0,50.0,沪深主力连续
2018-10-31,0.0,0.0,0.0,0.0,300.0,3151.0,7089750.0,0.15,IF88,3319.348,7089750.0,2525220.0,50.0,沪深主力连续
2018-11-01,0.0,0.0,0.0,0.0,300.0,3174.6,7142850.0,0.15,IF88,3319.348,7142850.0,2171220.0,50.0,沪深主力连续
2018-11-02,0.0,0.0,0.0,0.0,300.0,3306.6,7439850.0,0.15,IF88,3319.348,7439850.0,191220.0,50.0,沪深主力连续
