date,cash,daily_pnl,margin,market_value,position_pnl,total_value,trading_pnl,transaction_cost
2017-06-07,43528238.431,-306000.0,3717000.0,-37170000.0,-306000.0,47245238.431,0.0,0.0
2017-06-08,43125638.431,-366000.0,3753600.0,-37536000.0,-366000.0,46879238.431,0.0,0.0
2017-06-09,42924338.431,-183000.0,3771900.0,-37719000.0,-183000.0,46696238.431,0.0,0.0
2017-06-12,43020038.431,87000.0,3763200.0,-37632000.0,87000.0,46783238.431,0.0,0.0
2017-06-13,43049738.431,27000.0,3760500.0,-37605000.0,27000.0,46810238.431,0.0,0.0
2017-06-14,43581038.431,483000.0,3712200.0,-37122000.0,483000.0,47293238.431,0.0,0.0
2017-06-15,44171738.431,537000.0,3658500.0,-36585000.0,537000.0,47830238.431,0.0,0.0
2017-06-16,44376338.431,186000.0,3639900.0,-36399000.0,186000.0,48016238.431,0.0,0.0
2017-06-19,43680038.431,-633000.0,3703200.0,-37032000.0,-633000.0,47383238.431,0.0,0.0
2017-06-20,43917638.431,216000.0,3681600.0,-36816000.0,216000.0,47599238.431,0.0,0.0
2017-06-21,43491938.431,-387000.0,3720300.0,-37203000.0,-387000.0,47212238.431,0.0,0.0
2017-06-22,43340138.431,-138000.0,3734100.0,-37341000.0,-138000.0,47074238.431,0.0,0.0
2017-06-23,42904538.431,-396000.0,3773700.0,-37737000.0,-396000.0,46678238.431,0.0,0.0
2017-06-26,42746138.431,-144000.0,3788100.0,-37881000.0,-144000.0,46534238.431,0.0,0.0
2017-06-27,42577838.431,-153000.0,3803400.0,-38034000.0,-153000.0,46381238.431,0.0,0.0
2017-06-28,42914438.431,306000.0,3772800.0,-37728000.0,306000.0,46687238.431,0.0,0.0
2017-06-29,42637238.431,-252000.0,3798000.0,-37980000.0,-252000.0,46435238.431,0.0,0.0
2017-06-30,42769238.431,120000.0,3786000.0,-37860000.0,120000.0,46555238.431,0.0,0.0
2017-07-03,43016738.431,225000.0,3763500.0,-37635000.0,225000.0,46780238.431,0.0,0.0
2017-07-04,43452338.431,396000.0,3723900.0,-37239000.0,396000.0,47176238.431,0.0,0.0
2017-07-05,42637238.431,-741000.0,3798000.0,-37980000.0,-741000.0,46435238.431,0.0,0.0
2017-07-06,42647138.431,9000.0,3797100.0,-37971000.0,9000.0,46444238.431,0.0,0.0
2017-07-07,42779138.431,120000.0,3785100.0,-37851000.0,120000.0,46564238.431,0.0,0.0
2017-07-10,42567938.431,-192000.0,3804300.0,-38043000.0,-192000.0,46372238.431,0.0,0.0
2017-07-11,42059738.431,-462000.0,3850500.0,-38505000.0,-462000.0,45910238.431,0.0,0.0
2017-07-12,42267638.431,189000.0,3831600.0,-38316000.0,189000.0,46099238.431,0.0,0.0
2017-07-13,41554838.431,-648000.0,3896400.0,-38964000.0,-648000.0,45451238.431,0.0,0.0
2017-07-14,41082938.431,-429000.0,3939300.0,-39393000.0,-429000.0,45022238.431,0.0,0.0
2017-07-17,41007038.431,-69000.0,3946200.0,-39462000.0,-69000.0,44953238.431,0.0,0.0
2017-07-18,41198438.431,174000.0,3928800.0,-39288000.0,174000.0,45127238.431,0.0,0.0
2017-07-19,40472438.431,-660000.0,3994800.0,-39948000.0,-660000.0,44467238.431,0.0,0.0
2017-07-20,40360238.431,-102000.0,4005000.0,-40050000.0,-102000.0,44365238.431,0.0,0.0
2017-07-21,40851938.431,447000.0,3960300.0,-39603000.0,447000.0,44812238.431,0.0,0.0
2017-07-24,40475738.431,-342000.0,3994500.0,-39945000.0,-342000.0,44470238.431,0.0,0.0
2017-07-25,40809038.431,303000.0,3964200.0,-39642000.0,303000.0,44773238.431,0.0,0.0
2017-07-26,40987238.431,162000.0,3948000.0,-39480000.0,162000.0,44935238.431,0.0,0.0
2017-07-27,40970738.431,-15000.0,3949500.0,-39495000.0,-15000.0,44920238.431,0.0,0.0
2017-07-28,40927838.431,-39000.0,3953400.0,-39534000.0,-39000.0,44881238.431,0.0,0.0
2017-07-31,40878338.431,-45000.0,3957900.0,-39579000.0,-45000.0,44836238.431,0.0,0.0
2017-08-01,40162238.431,-651000.0,4023000.0,-40230000.0,-651000.0,44185238.431,0.0,0.0
2017-08-02,40083038.431,-72000.0,4030200.0,-40302000.0,-72000.0,44113238.431,0.0,0.0
2017-08-03,40752938.431,609000.0,3969300.0,-39693000.0,609000.0,44722238.431,0.0,0.0
2017-08-04,41076338.431,294000.0,3939900.0,-39399000.0,294000.0,45016238.431,0.0,0.0
2017-08-07,40927838.431,-135000.0,3953400.0,-39534000.0,-135000.0,44881238.431,0.0,0.0
2017-08-08,40908038.431,-18000.0,3955200.0,-39552000.0,-18000.0,44863238.431,0.0,0.0
2017-08-09,41224838.431,288000.0,3926400.0,-39264000.0,288000.0,45151238.431,0.0,0.0
2017-08-10,41396438.431,156000.0,3910800.0,-39108000.0,156000.0,45307238.431,0.0,0.0
2017-08-11,42112538.431,651000.0,3845700.0,-38457000.0,651000.0,45958238.431,0.0,0.0
2017-08-14,41736338.431,-342000.0,3879900.0,-38799000.0,-342000.0,45616238.431,0.0,0.0
2017-08-15,41432738.431,-276000.0,3907500.0,-39075000.0,-276000.0,45340238.431,0.0,0.0
2017-08-16,41630738.431,180000.0,3889500.0,-38895000.0,180000.0,45520238.431,0.0,0.0
2017-08-17,41432738.431,-180000.0,3907500.0,-39075000.0,-180000.0,45340238.431,0.0,0.0
2017-08-18,41247938.431,-168000.0,3924300.0,-39243000.0,-168000.0,45172238.431,0.0,0.0
2017-08-21,41228138.431,-18000.0,3926100.0,-39261000.0,-18000.0,45154238.431,0.0,0.0
2017-08-22,40769438.431,-417000.0,3967800.0,-39678000.0,-417000.0,44737238.431,0.0,0.0
2017-08-23,40455938.431,-285000.0,3996300.0,-39963000.0,-285000.0,44452238.431,0.0,0.0
2017-08-24,40640738.431,168000.0,3979500.0,-39795000.0,168000.0,44620238.431,0.0,0.0
2017-08-25,39621038.431,-927000.0,4072200.0,-40722000.0,-927000.0,43693238.431,0.0,0.0
2017-08-28,39126038.431,-450000.0,4117200.0,-41172000.0,-450000.0,43243238.431,0.0,0.0
2017-08-29,39083138.431,-39000.0,4121100.0,-41211000.0,-39000.0,43204238.431,0.0,0.0
2017-08-30,39343838.431,237000.0,4097400.0,-40974000.0,237000.0,43441238.431,0.0,0.0
2017-08-31,39456038.431,102000.0,4087200.0,-40872000.0,102000.0,43543238.431,0.0,0.0
2017-09-01,39581438.431,114000.0,4075800.0,-40758000.0,114000.0,43657238.431,0.0,0.0
2017-09-04,39574838.431,-6000.0,4076400.0,-40764000.0,-6000.0,43651238.431,0.0,0.0
2017-09-05,39330638.431,-222000.0,4098600.0,-40986000.0,-222000.0,43429238.431,0.0,0.0
2017-09-06,39604538.431,249000.0,4073700.0,-40737000.0,249000.0,43678238.431,0.0,0.0
2017-09-07,39957638.431,321000.0,4041600.0,-40416000.0,321000.0,43999238.431,0.0,0.0
2017-09-08,40050038.431,84000.0,4033200.0,-40332000.0,84000.0,44083238.431,0.0,0.0
2017-09-11,40122638.431,66000.0,4026600.0,-40266000.0,66000.0,44149238.431,0.0,0.0
